comment_id,video_id,comment_type,parent_id,author_name,author_channel_url,comment_text,like_count,published_at,updated_at,reply_count
UgxFtF3a6qVSSz8ipSd4AaABAg,BtdaUak8ZSw,main_comment,,@유튭-u6m,http://www.youtube.com/@%EC%9C%A0%ED%8A%AD-u6m,놀리지 않으려고 노력하겠습니다 시점부터 이미 작정하고 놀려먹겠다는 뜻이잖앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,16640,2024-04-18T05:40:39Z,2024-04-18T05:40:39Z,26
UgxFtF3a6qVSSz8ipSd4AaABAg.A2MZBMAoD7TA2MlGmPfmTi,BtdaUak8ZSw,reply,UgxFtF3a6qVSSz8ipSd4AaABAg,@DAKGALBI1345-d3j,http://www.youtube.com/@DAKGALBI1345-d3j,놀리지 않으려고 노력하겠습니다(씨익),1432,2024-04-18T07:34:59Z,2024-04-18T07:35:05Z,0
UgxFtF3a6qVSSz8ipSd4AaABAg.A2MZBMAoD7TA2Mn308tmZ_,BtdaUak8ZSw,reply,UgxFtF3a6qVSSz8ipSd4AaABAg,@Handle-d5x,http://www.youtube.com/@Handle-d5x,저게 최대한 안 놀린거란거네 씹 ㅋㅋㅋㅋㅋ,656,2024-04-18T07:50:35Z,2024-04-18T07:50:35Z,0
UgxFtF3a6qVSSz8ipSd4AaABAg.A2MZBMAoD7TA2N66Uph5yi,BtdaUak8ZSw,reply,UgxFtF3a6qVSSz8ipSd4AaABAg,@해장국,http://www.youtube.com/@%ED%95%B4%EC%9E%A5%EA%B5%AD,멍청한건지 작정하고 놀리는건지 ㅋㅋㅋㅋㅋ,304,2024-04-18T10:45:49Z,2024-04-18T10:45:49Z,0
UgxFtF3a6qVSSz8ipSd4AaABAg.A2MZBMAoD7TA2NAdA5bTGy,BtdaUak8ZSw,reply,UgxFtF3a6qVSSz8ipSd4AaABAg,@유령병아리,http://www.youtube.com/@%EC%9C%A0%EB%A0%B9%EB%B3%91%EC%95%84%EB%A6%AC,4세대 AI인 멀티모달은 대학원생 수준의 지각 능력을 제공합니다.<br>멀티모달:,121,2024-04-18T11:25:22Z,2024-04-18T11:25:22Z,0
UgxFtF3a6qVSSz8ipSd4AaABAg.A2MZBMAoD7TA2NBS4k9Rhv,BtdaUak8ZSw,reply,UgxFtF3a6qVSSz8ipSd4AaABAg,@정보비공개-z4f,http://www.youtube.com/@%EC%A0%95%EB%B3%B4%EB%B9%84%EA%B3%B5%EA%B0%9C-z4f,러다이트 운동은 과학이였다.,70,2024-04-18T11:32:27Z,2024-04-18T11:32:27Z,0
Ugwc0d9zjmM_Xu4628d4AaABAg,BtdaUak8ZSw,main_comment,,@두로산따이,http://www.youtube.com/@%EB%91%90%EB%A1%9C%EC%82%B0%EB%94%B0%EC%9D%B4,저러니 망치에 대가리 깨지는 짤이 나오지ㅋㅋㅋ,9595,2024-04-18T06:45:09Z,2024-04-18T06:45:09Z,17
Ugwc0d9zjmM_Xu4628d4AaABAg.A2MfZoTJz5_A2Mh7_ksDMt,BtdaUak8ZSw,reply,Ugwc0d9zjmM_Xu4628d4AaABAg,@user-km7fj9xq9m,http://www.youtube.com/@user-km7fj9xq9m,깡!,378,2024-04-18T06:58:47Z,2024-04-18T06:58:47Z,0
Ugwc0d9zjmM_Xu4628d4AaABAg.A2MfZoTJz5_A2MhWk309wY,BtdaUak8ZSw,reply,Ugwc0d9zjmM_Xu4628d4AaABAg,@갓도그,http://www.youtube.com/@%EA%B0%93%EB%8F%84%EA%B7%B8,그건 똘킹이도 마찬가지 아니냐?,491,2024-04-18T07:02:13Z,2024-04-18T07:02:13Z,0
Ugwc0d9zjmM_Xu4628d4AaABAg.A2MfZoTJz5_A2Mi13X3TOW,BtdaUak8ZSw,reply,Ugwc0d9zjmM_Xu4628d4AaABAg,@두로산따이,http://www.youtube.com/@%EB%91%90%EB%A1%9C%EC%82%B0%EB%94%B0%EC%9D%B4,@@갓도그 헉,72,2024-04-18T07:06:38Z,2024-04-18T07:06:38Z,0
Ugwc0d9zjmM_Xu4628d4AaABAg.A2MfZoTJz5_A2MxYAk9VfO,BtdaUak8ZSw,reply,Ugwc0d9zjmM_Xu4628d4AaABAg,@nerrddy,http://www.youtube.com/@nerrddy,대깨문,0,2024-04-18T09:22:13Z,2024-04-18T09:22:13Z,0
