comment_id,video_id,comment_type,parent_id,author_name,author_channel_url,comment_text,like_count,published_at,updated_at,reply_count
UgxaElPWwWvLG3vCP0t4AaABAg,rxC6YlaCKL8,main_comment,,@뵤리뵤리뵤리퐁,http://www.youtube.com/@%EB%B5%A4%EB%A6%AC%EB%B5%A4%EB%A6%AC%EB%B5%A4%EB%A6%AC%ED%90%81,ㅋㅋㅋㅋ 퉁퉁퉁퉁ㅌ.. ㅋㅋㅋ 일단 그거 진짜 웃겨욬ㅋㅋ Al반응 재밌음 캌캌킼카캌 ㅋㅋ,130,2025-04-27T03:13:16Z,2025-04-27T03:13:16Z,2
UgxaElPWwWvLG3vCP0t4AaABAg.AHPJcD_4t1CAIDDbXZ_p2x,rxC6YlaCKL8,reply,UgxaElPWwWvLG3vCP0t4AaABAg,@김하은tv,http://www.youtube.com/@%EA%B9%80%ED%95%98%EC%9D%80tv,ㅋㅋㅋ통통통통ㅌㅋㅋㅋㅋ일단그거진짜웃겨욬ㅋㅋ,1,2025-05-17T07:01:15Z,2025-05-17T07:01:15Z,0
UgxaElPWwWvLG3vCP0t4AaABAg.AHPJcD_4t1CAL5mHPSkKeJ,rxC6YlaCKL8,reply,UgxaElPWwWvLG3vCP0t4AaABAg,@행복한제드-123,http://www.youtube.com/@%ED%96%89%EB%B3%B5%ED%95%9C%EC%A0%9C%EB%93%9C-123,A&quot;L&quot; 은 뭐죵,0,2025-07-27T23:13:12Z,2025-07-27T23:13:12Z,0
UgwR84ivIITsDS1vL894AaABAg,rxC6YlaCKL8,main_comment,,@이보라-f9p,http://www.youtube.com/@%EC%9D%B4%EB%B3%B4%EB%9D%BC-f9p,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이제 내가 다 속이 시원하네..ㅋㅋㅋㅋㅋㅋㅋ 역시 뚜빠님은 오웈ㅋㅋㅋㅋㅋ,16,2025-04-28T08:58:21Z,2025-04-28T08:58:21Z,0
UgwE6hE1rg2eMPAqbwp4AaABAg,rxC6YlaCKL8,main_comment,,@토끼-q8h3q,http://www.youtube.com/@%ED%86%A0%EB%81%BC-q8h3q,ㅋㅋ너무 재밋어요ㅋㅋ 통통통통통통통통통사후르ㅋㅋ뚜빠님 너무 절 따라하시는것같아요! ㅎㅎ챗GPT 이기신거 축하해요❤,11,2025-04-27T14:58:50Z,2025-04-27T14:59:21Z,0
Ugwv4Od5AvrA6HJieQl4AaABAg,rxC6YlaCKL8,main_comment,,@Pretty하늬_haru,http://www.youtube.com/@Pretty%ED%95%98%EB%8A%AC_haru,ㅋ8⁸ㅋ-ㅋ-ㅋㅋㅋㅋㅋㅋㅋ 뚜빠님이 묙소리내시고 뚜지가 들어가있었군 어쩐지 뚜지가 안보였냉^^; ㅋㅋㅋㅋ 지피티를 패배시키다니 ㅋㅋㅋㅋ 대박인데요 ㅋㅋㅋㅋ틈새공격까지 ㅋㅋㅋ 완전히 굿 ㅋㅋㅋㅋ이네요👏👏👏👏<br>마이맘&amp;마이데디님까지 갔어야 했는데 ㅋㅋㅋㅋ 챗 GPT패배하다니 ㅋㅋㅋ역시 지피티는 사람을 못이기네 ㅋㅋ,53,2025-04-27T03:52:37Z,2025-04-27T04:20:36Z,2
Ugwv4Od5AvrA6HJieQl4AaABAg.AHPO7N4lyvxAJhrO2wcYJV,rxC6YlaCKL8,reply,Ugwv4Od5AvrA6HJieQl4AaABAg,@3jsandMeVlogOfficial,http://www.youtube.com/@3jsandMeVlogOfficial,맜아😅😅😅😅,0,2025-06-23T10:25:24Z,2025-06-23T10:25:24Z,0
Ugwv4Od5AvrA6HJieQl4AaABAg.AHPO7N4lyvxAL-8uRflE-2,rxC6YlaCKL8,reply,Ugwv4Od5AvrA6HJieQl4AaABAg,@성현홍-d1q,http://www.youtube.com/@%EC%84%B1%ED%98%84%ED%99%8D-d1q,앜 그러네 손 보니까 ㅋㅋㅋㅋ,0,2025-07-25T09:24:58Z,2025-07-25T09:24:58Z,0
Ugw1uiWTPrnOm1ywhS94AaABAg,rxC6YlaCKL8,main_comment,,@hms3037,http://www.youtube.com/@hms3037,통나무 누가 봐도 수지같음ㅋㄱㅋ귀엽다,96,2025-04-27T02:49:17Z,2025-04-27T02:49:17Z,6
Ugw1uiWTPrnOm1ywhS94AaABAg.AHPGsZE357yAHPJqtEpDvK,rxC6YlaCKL8,reply,Ugw1uiWTPrnOm1ywhS94AaABAg,@은유_한태먹힌_햇감쟈,http://www.youtube.com/@%EC%9D%80%EC%9C%A0_%ED%95%9C%ED%83%9C%EB%A8%B9%ED%9E%8C_%ED%96%87%EA%B0%90%EC%9F%88,뚜빠 아닌가요?,8,2025-04-27T03:15:17Z,2025-04-27T03:15:17Z,0
