comment_id,video_id,comment_type,parent_id,author_name,author_channel_url,comment_text,like_count,published_at,updated_at,reply_count
Ugxnv4d9y6xhYEUydpB4AaABAg,b_HNLU1dkPs,main_comment,,@조충현-CCH,http://www.youtube.com/@%EC%A1%B0%EC%B6%A9%ED%98%84-CCH,이샠한테 심을 악성코드추천좀,1760,2025-05-01T09:13:53Z,2025-05-01T09:13:53Z,73
Ugxnv4d9y6xhYEUydpB4AaABAg.AH_G3rwaf2iAH_Gt3WAqlE,b_HNLU1dkPs,reply,Ugxnv4d9y6xhYEUydpB4AaABAg,@Kang_Ah_Ge,http://www.youtube.com/@Kang_Ah_Ge,제 발가락코드 드림,42,2025-05-01T09:21:00Z,2025-05-01T09:21:00Z,0
Ugxnv4d9y6xhYEUydpB4AaABAg.AH_G3rwaf2iAH_I9ADX21b,b_HNLU1dkPs,reply,Ugxnv4d9y6xhYEUydpB4AaABAg,@들찬별,http://www.youtube.com/@%EB%93%A4%EC%B0%AC%EB%B3%84,비틀즈코드 드림,19,2025-05-01T09:32:05Z,2025-05-01T09:32:05Z,0
Ugxnv4d9y6xhYEUydpB4AaABAg.AH_G3rwaf2iAH_Izzg680d,b_HNLU1dkPs,reply,Ugxnv4d9y6xhYEUydpB4AaABAg,@스-t2x,http://www.youtube.com/@%EC%8A%A4-t2x,"import os<br>import platform<br>import getpass<br>import socket<br>import time<br><br>def get_system_info():<br>    info = {<br>        &quot;OS&quot;: platform.system(),<br>        &quot;OS Version&quot;: platform.version(),<br>        &quot;User&quot;: getpass.getuser(),<br>        &quot;Hostname&quot;: socket.gethostname(),<br>        &quot;IP Address&quot;: socket.gethostbyname(socket.gethostname())<br>    }<br>    return info<br><br>def list_documents():<br>    try:<br>        user = getpass.getuser()<br>        documents_path = f&quot;C:/Users/{user}/Documents&quot;<br>        return os.listdir(documents_path)<br>    except Exception as e:<br>        return str(e)",0,2025-05-01T09:39:26Z,2025-05-01T09:39:26Z,0
Ugxnv4d9y6xhYEUydpB4AaABAg.AH_G3rwaf2iAH_KvhXiBHF,b_HNLU1dkPs,reply,Ugxnv4d9y6xhYEUydpB4AaABAg,@dotdotdot111-f4b,http://www.youtube.com/@dotdotdot111-f4b,디스코드 드림,50,2025-05-01T09:56:19Z,2025-05-01T09:56:19Z,0
Ugxnv4d9y6xhYEUydpB4AaABAg.AH_G3rwaf2iAH_La4ky_Mp,b_HNLU1dkPs,reply,Ugxnv4d9y6xhYEUydpB4AaABAg,@킴민현,http://www.youtube.com/@%ED%82%B4%EB%AF%BC%ED%98%84,바코드 드림,14,2025-05-01T10:02:06Z,2025-05-01T10:02:06Z,0
UgyQcHuajQs5dWTht4V4AaABAg,b_HNLU1dkPs,main_comment,,@INTJ0923,http://www.youtube.com/@INTJ0923,&quot;제 보는 가위를 이겨요&quot; ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2528,2025-05-02T15:45:51Z,2025-05-02T15:45:51Z,10
UgyQcHuajQs5dWTht4V4AaABAg.AHcXihDt9-XAHds74P98YG,b_HNLU1dkPs,reply,UgyQcHuajQs5dWTht4V4AaABAg,@INFP에겐,http://www.youtube.com/@INFP%EC%97%90%EA%B2%90,AI 보는 강철로 만들어나봐요? ㅋㅋ,17,2025-05-03T04:12:04Z,2025-05-03T04:12:04Z,0
UgyQcHuajQs5dWTht4V4AaABAg.AHcXihDt9-XAHjOUGviPYW,b_HNLU1dkPs,reply,UgyQcHuajQs5dWTht4V4AaABAg,@Rjun-g2h,http://www.youtube.com/@Rjun-g2h,@@INFP에겐 맞는듯ㅋㅋㅋ기계니까,2,2025-05-05T07:39:47Z,2025-05-05T07:39:47Z,0
UgyQcHuajQs5dWTht4V4AaABAg.AHcXihDt9-XAHk7ceDrXr3,b_HNLU1dkPs,reply,UgyQcHuajQs5dWTht4V4AaABAg,@강동원-r4u,http://www.youtube.com/@%EA%B0%95%EB%8F%99%EC%9B%90-r4u,ㅋㅋㅋㅋㅋㅋ,0,2025-05-05T14:31:46Z,2025-05-05T14:31:46Z,0
UgyQcHuajQs5dWTht4V4AaABAg.AHcXihDt9-XAHkG4lXA0tB,b_HNLU1dkPs,reply,UgyQcHuajQs5dWTht4V4AaABAg,@김삿갓-g7s,http://www.youtube.com/@%EA%B9%80%EC%82%BF%EA%B0%93-g7s,바키 따라한거 아님?<br>가위로 주먹 이기는 유지로ㅋㅋ,3,2025-05-05T15:45:39Z,2025-05-05T15:45:39Z,0
UgyQcHuajQs5dWTht4V4AaABAg.AHcXihDt9-XAHrXgLJGl9k,b_HNLU1dkPs,reply,UgyQcHuajQs5dWTht4V4AaABAg,@lllIIIIlllllllI,http://www.youtube.com/@lllIIIIlllllllI,보한민국에서 보지는 무적이긴한데,19,2025-05-08T11:34:09Z,2025-05-08T11:34:09Z,0
UgzKApwj8t5hSH4i19x4AaABAg,b_HNLU1dkPs,main_comment,,@ybk1409,http://www.youtube.com/@ybk1409,먼저 흥분하고 언성 높이는 사람은 지는거라는걸 ai는 이미 알고 있는듯 침착하게 대응하면서 상대의 화를 돋구어 승리를 쟁취하려는것 같습니다..그런의미에서 ai 정신승리 win,307,2025-05-04T04:05:38Z,2025-05-04T04:05:38Z,0
UgzygoFI99RWweKW8cp4AaABAg,b_HNLU1dkPs,main_comment,,@레인-g8i,http://www.youtube.com/@%EB%A0%88%EC%9D%B8-g8i,3차전이 벌써 기대된닼ㅋㅋㅋㅋㅋ,2440,2025-05-01T09:22:31Z,2025-05-01T09:22:31Z,7
UgzygoFI99RWweKW8cp4AaABAg.AH_H39smt9NAH_IzgkDNXq,b_HNLU1dkPs,reply,UgzygoFI99RWweKW8cp4AaABAg,@임똘-w7b,http://www.youtube.com/@%EC%9E%84%EB%98%98-w7b,너무 설레어요 ㅋㅋㅋㅋㅋㅋ,8,2025-05-01T09:39:23Z,2025-05-01T09:39:23Z,0
UgzygoFI99RWweKW8cp4AaABAg.AH_H39smt9NAHcFpkZZNeC,b_HNLU1dkPs,reply,UgzygoFI99RWweKW8cp4AaABAg,@TBCzzang,http://www.youtube.com/@TBCzzang,찢재명의  &quot;보&quot;일듯 ...그럼 인정해줘야지,0,2025-05-02T13:09:32Z,2025-05-02T13:09:32Z,0
UgzygoFI99RWweKW8cp4AaABAg.AH_H39smt9NAHcjHd1T4ce,b_HNLU1dkPs,reply,UgzygoFI99RWweKW8cp4AaABAg,@82eundd,http://www.youtube.com/@82eundd,이거 ai이름 뭔가요?,0,2025-05-02T17:35:37Z,2025-05-02T17:35:37Z,0
UgzygoFI99RWweKW8cp4AaABAg.AH_H39smt9NAHckMUBc8oV,b_HNLU1dkPs,reply,UgzygoFI99RWweKW8cp4AaABAg,@jgy_an,http://www.youtube.com/@jgy_an,챗지피티요​@@82eundd,0,2025-05-02T17:45:01Z,2025-05-02T17:45:01Z,0
UgzygoFI99RWweKW8cp4AaABAg.AH_H39smt9NAHj14-O-J3C,b_HNLU1dkPs,reply,UgzygoFI99RWweKW8cp4AaABAg,@gezusammet2800,http://www.youtube.com/@gezusammet2800,3차 대전이 터질까봐 걱정됩니다.<br>AI : 인간,1,2025-05-05T04:15:14Z,2025-05-05T04:15:14Z,0
UgxeWZOC8-h43CNyhad4AaABAg,b_HNLU1dkPs,main_comment,,@g_hoo,http://www.youtube.com/@g_hoo,간만에 웃엇네요 감사합니다,111,2025-05-03T07:03:10Z,2025-05-03T07:03:10Z,0
Ugx6BL648nBvAfYcOZp4AaABAg,b_HNLU1dkPs,main_comment,,@jjjm.mm.m,http://www.youtube.com/@jjjm.mm.m,ai ㅈㄴ 뻔뻔하네 ㅋㅋㅋㅋㅋㅋㅋㅋ,3085,2025-05-01T09:15:32Z,2025-05-01T09:15:32Z,23
Ugx6BL648nBvAfYcOZp4AaABAg.AH_GG1DoUwDAHf2Wid1fsE,b_HNLU1dkPs,reply,Ugx6BL648nBvAfYcOZp4AaABAg,@인생-y2w,http://www.youtube.com/@%EC%9D%B8%EC%83%9D-y2w,마빡 ㅈㄴ마려움ㅋㅋㅋ,8,2025-05-03T15:10:56Z,2025-05-03T15:10:56Z,0
Ugx6BL648nBvAfYcOZp4AaABAg.AH_GG1DoUwDAHfCODD-yXh,b_HNLU1dkPs,reply,Ugx6BL648nBvAfYcOZp4AaABAg,@우측다섯클럽,http://www.youtube.com/@%EC%9A%B0%EC%B8%A1%EB%8B%A4%EC%84%AF%ED%81%B4%EB%9F%BD,ㅈㄴ뻔뻔하고 틀리는거도 많음 ㅋㅋㅋㅋㅋ,4,2025-05-03T16:37:09Z,2025-05-03T16:37:09Z,0
Ugx6BL648nBvAfYcOZp4AaABAg.AH_GG1DoUwDAHh72lWoDw1,b_HNLU1dkPs,reply,Ugx6BL648nBvAfYcOZp4AaABAg,@flejbcjeis,http://www.youtube.com/@flejbcjeis,뭔소리임<br>주작몰카처럼 걍 대본있는컨텐츠임<br>ai는 그대로 연기해주는거고,5,2025-05-04T10:29:01Z,2025-05-04T10:29:01Z,0
Ugx6BL648nBvAfYcOZp4AaABAg.AH_GG1DoUwDAHixFplbgT0,b_HNLU1dkPs,reply,Ugx6BL648nBvAfYcOZp4AaABAg,@Passerby_Official,http://www.youtube.com/@Passerby_Official,이재명 같네 ㅋㅋ,10,2025-05-05T03:33:09Z,2025-05-05T03:33:09Z,0
Ugx6BL648nBvAfYcOZp4AaABAg.AH_GG1DoUwDAHjBy9Wcjjv,b_HNLU1dkPs,reply,Ugx6BL648nBvAfYcOZp4AaABAg,@torunrun1442,http://www.youtube.com/@torunrun1442,​@@Passerby_Official정신차려,10,2025-05-05T05:50:25Z,2025-05-05T05:50:25Z,0
UgxZTzJQwfUrWdOjz2h4AaABAg,b_HNLU1dkPs,main_comment,,@justjustice6124,http://www.youtube.com/@justjustice6124,이걸로 무한 컨텐츠 뽑아먹는 ...천제네..ㅎ,48,2025-05-10T04:07:17Z,2025-05-10T04:07:17Z,0
Ugy_-tDrM9YgSnuw5GJ4AaABAg,b_HNLU1dkPs,main_comment,,@속초우뇨니-c9t,http://www.youtube.com/@%EC%86%8D%EC%B4%88%EC%9A%B0%EB%87%A8%EB%8B%88-c9t,제 보는 가위를 이겨요 ㅋㅋㅋ,3360,2025-05-01T10:15:37Z,2025-05-01T10:15:37Z,25
Ugy_-tDrM9YgSnuw5GJ4AaABAg.AH_N817ji6XAHbg4zMnZq1,b_HNLU1dkPs,reply,Ugy_-tDrM9YgSnuw5GJ4AaABAg,@howrite,http://www.youtube.com/@howrite,이거 일부러 대본주고 짜고치는거네,31,2025-05-02T07:48:26Z,2025-05-02T07:48:26Z,0
Ugy_-tDrM9YgSnuw5GJ4AaABAg.AH_N817ji6XAHbwgPcnmZv,b_HNLU1dkPs,reply,Ugy_-tDrM9YgSnuw5GJ4AaABAg,@Rabbit_pang,http://www.youtube.com/@Rabbit_pang,​@@howrite그냥 봐...,16,2025-05-02T10:13:30Z,2025-05-02T10:13:30Z,0
Ugy_-tDrM9YgSnuw5GJ4AaABAg.AH_N817ji6XAHbzIz-6b2f,b_HNLU1dkPs,reply,Ugy_-tDrM9YgSnuw5GJ4AaABAg,@황재원-z1z,http://www.youtube.com/@%ED%99%A9%EC%9E%AC%EC%9B%90-z1z,이왜진...,5,2025-05-02T10:36:23Z,2025-05-02T10:36:23Z,0
Ugy_-tDrM9YgSnuw5GJ4AaABAg.AH_N817ji6XAHcJ5RdB6Ct,b_HNLU1dkPs,reply,Ugy_-tDrM9YgSnuw5GJ4AaABAg,@Nadejimara,http://www.youtube.com/@Nadejimara,@@howrite챗 지피티 안써봤냐? 만물 조작설 갮련,0,2025-05-02T13:38:02Z,2025-05-02T13:38:02Z,0
Ugy_-tDrM9YgSnuw5GJ4AaABAg.AH_N817ji6XAHcJOvOeN4H,b_HNLU1dkPs,reply,Ugy_-tDrM9YgSnuw5GJ4AaABAg,@junlee5380,http://www.youtube.com/@junlee5380,​@@howrite쫌 즐겨봐.. 모르는게 편해,8,2025-05-02T13:40:41Z,2025-05-02T13:40:41Z,0
UgzxQD9ePWrbLXeFnk54AaABAg,b_HNLU1dkPs,main_comment,,@jhm8105,http://www.youtube.com/@jhm8105,이강인선수 유튜브 잘찍으시네요😊,51,2025-05-03T10:31:35Z,2025-05-03T10:31:35Z,0
UgzubTPG5Kigb18kCgB4AaABAg,b_HNLU1dkPs,main_comment,,@시골어린이,http://www.youtube.com/@%EC%8B%9C%EA%B3%A8%EC%96%B4%EB%A6%B0%EC%9D%B4,"AI : 실수,착각 = 사기 ㅋㅋㅋㅋ",1331,2025-05-01T10:12:47Z,2025-05-01T10:12:47Z,3
UgzubTPG5Kigb18kCgB4AaABAg.AH_MoLWdS-LAHcJDAGn42e,b_HNLU1dkPs,reply,UgzubTPG5Kigb18kCgB4AaABAg,@d2341a,http://www.youtube.com/@d2341a,I : 실-&gt;I: 실,0,2025-05-02T13:39:05Z,2025-05-02T13:39:05Z,0
